<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	148.019	147.728	148.016	3581	0	20
2025.10.01	03:00:00	148.016	148.215	147.875	147.903	12720	0	20
2025.10.01	06:00:00	147.904	147.989	147.45	147.516	9873	0	20
2025.10.01	09:00:00	147.517	147.517	146.891	147.14	19151	0	20
2025.10.01	12:00:00	147.139	147.255	146.984	146.993	13626	0	20
2025.10.01	15:00:00	146.991	147.108	146.578	146.85	33202	0	20
2025.10.01	18:00:00	146.857	147.243	146.832	147.157	15363	0	20
2025.10.01	21:00:00	147.156	147.219	147.011	147.061	9813	0	20
2025.10.02	00:00:00	147.02	147.103	146.988	147.099	2668	0	20
2025.10.02	03:00:00	147.099	147.313	146.931	147.154	11182	0	20
2025.10.02	06:00:00	147.155	147.257	147.04	147.152	6952	0	20
2025.10.02	09:00:00	147.149	147.368	146.714	146.786	17730	0	20
2025.10.02	12:00:00	146.788	146.849	146.588	146.786	12480	0	20
2025.10.02	15:00:00	146.785	147.333	146.735	147.32	20177	0	20
2025.10.02	18:00:00	147.322	147.505	147.13	147.174	10803	0	20
2025.10.02	21:00:00	147.175	147.282	147.119	147.244	4119	0	20
2025.10.03	00:00:00	147.175	147.237	147.082	147.145	3056	0	20
2025.10.03	03:00:00	147.147	147.676	147.146	147.639	11968	0	20
2025.10.03	06:00:00	147.643	147.806	147.562	147.773	7322	0	20
2025.10.03	09:00:00	147.773	147.793	147.267	147.319	12639	0	20
2025.10.03	12:00:00	147.319	147.424	147.209	147.267	8918	0	20
2025.10.03	15:00:00	147.266	147.508	147.057	147.436	22445	0	20
2025.10.03	18:00:00	147.435	147.526	147.296	147.495	11419	0	20
2025.10.03	21:00:00	147.496	147.534	147.372	147.469	6798	0	20
2025.10.06	00:00:00	149.477	149.648	149.028	149.572	15069	0	20
2025.10.06	03:00:00	149.566	149.908	149.437	149.861	18252	0	20
2025.10.06	06:00:00	149.86	150.425	149.811	150.247	12700	0	20
2025.10.06	09:00:00	150.244	150.387	149.94	150.357	23518	0	20
2025.10.06	12:00:00	150.358	150.467	150.209	150.361	14731	0	20
2025.10.06	15:00:00	150.363	150.379	149.742	149.951	27183	0	20
2025.10.06	18:00:00	149.952	150.228	149.911	150.196	10492	0	20
2025.10.06	21:00:00	150.195	150.386	150.151	150.338	5018	0	20
2025.10.07	00:00:00	150.238	150.384	150.19	150.352	5764	0	20
2025.10.07	03:00:00	150.35	150.608	150.328	150.52	10386	0	20
2025.10.07	06:00:00	150.521	150.532	150.237	150.486	5022	0	20
2025.10.07	09:00:00	150.487	150.821	150.486	150.783	14523	0	20
2025.10.07	12:00:00	150.782	150.94	150.696	150.886	9605	0	20
2025.10.07	15:00:00	150.887	151.195	150.722	151.167	17301	0	20
2025.10.07	18:00:00	151.166	151.524	150.97	151.508	15126	0	20
2025.10.07	21:00:00	151.508	152.033	151.485	151.88	9169	0	20
2025.10.08	00:00:00	151.877	152.084	151.725	152.045	5521	0	20
2025.10.08	03:00:00	152.046	152.637	152.044	152.473	16778	0	20
2025.10.08	06:00:00	152.474	152.554	152.275	152.391	6600	0	20
2025.10.08	09:00:00	152.391	152.775	152.241	152.734	20356	0	20
2025.10.08	12:00:00	152.734	152.988	152.633	152.683	12346	0	20
2025.10.08	15:00:00	152.682	152.737	152.363	152.505	19438	0	20
2025.10.08	18:00:00	152.505	152.875	152.501	152.858	10051	0	20
2025.10.08	21:00:00	152.857	152.935	152.63	152.681	8410	0	20
