<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	148.215	147.728	148.098	8634	0	20
2025.10.01	04:00:00	148.096	148.157	147.542	147.543	12955	0	20
2025.10.01	08:00:00	147.543	147.633	146.891	147.14	23736	0	20
2025.10.01	12:00:00	147.139	147.255	146.578	146.788	26381	0	20
2025.10.01	16:00:00	146.785	147.243	146.61	147.15	33309	0	20
2025.10.01	20:00:00	147.15	147.219	147.011	147.061	12314	0	20
2025.10.02	00:00:00	147.02	147.313	146.988	147.182	7700	0	20
2025.10.02	04:00:00	147.181	147.216	146.931	147.165	10018	0	20
2025.10.02	08:00:00	147.165	147.368	146.714	146.786	20814	0	20
2025.10.02	12:00:00	146.788	147.189	146.588	147.152	18213	0	20
2025.10.02	16:00:00	147.152	147.505	147.048	147.154	23432	0	20
2025.10.02	20:00:00	147.157	147.282	147.119	147.244	5934	0	20
2025.10.03	00:00:00	147.175	147.371	147.082	147.342	6853	0	20
2025.10.03	04:00:00	147.346	147.757	147.171	147.714	11952	0	20
2025.10.03	08:00:00	147.713	147.806	147.267	147.319	16180	0	20
2025.10.03	12:00:00	147.319	147.424	147.209	147.254	14412	0	20
2025.10.03	16:00:00	147.253	147.526	147.057	147.494	25096	0	20
2025.10.03	20:00:00	147.495	147.534	147.372	147.469	10072	0	20
2025.10.06	00:00:00	149.477	149.854	149.028	149.695	24497	0	20
2025.10.06	04:00:00	149.697	150.333	149.575	150.303	17585	0	20
2025.10.06	08:00:00	150.306	150.425	149.94	150.357	27457	0	20
2025.10.06	12:00:00	150.358	150.467	149.742	149.773	25723	0	20
2025.10.06	16:00:00	149.771	150.163	149.744	150.151	24264	0	20
2025.10.06	20:00:00	150.149	150.386	150.071	150.338	7437	0	20
2025.10.07	00:00:00	150.238	150.608	150.19	150.48	11403	0	20
2025.10.07	04:00:00	150.48	150.603	150.237	150.405	7847	0	20
2025.10.07	08:00:00	150.406	150.821	150.391	150.783	16445	0	20
2025.10.07	12:00:00	150.782	151.017	150.696	150.821	14780	0	20
2025.10.07	16:00:00	150.822	151.399	150.722	151.316	23043	0	20
2025.10.07	20:00:00	151.315	152.033	151.24	151.88	13378	0	20
2025.10.08	00:00:00	151.877	152.366	151.725	152.297	12493	0	20
2025.10.08	04:00:00	152.296	152.637	152.261	152.354	13498	0	20
2025.10.08	08:00:00	152.355	152.775	152.241	152.734	23264	0	20
2025.10.08	12:00:00	152.734	152.988	152.427	152.497	18271	0	20
2025.10.08	16:00:00	152.496	152.787	152.363	152.747	20986	0	20
2025.10.08	20:00:00	152.745	152.935	152.63	152.681	10988	0	20
2025.10.09	00:00:00	152.598	152.729	152.444	152.694	12680	0	20
