<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	147.773	147.728	147.761	114	0	178
2025.10.01	00:30:00	147.771	147.838	147.763	147.828	225	0	73
2025.10.01	01:00:00	147.831	147.895	147.806	147.895	711	0	25
2025.10.01	01:30:00	147.897	147.913	147.884	147.897	602	0	22
2025.10.01	02:00:00	147.895	147.923	147.802	147.891	926	0	20
2025.10.01	02:30:00	147.891	148.019	147.872	148.016	1003	0	20
2025.10.01	03:00:00	148.016	148.143	148.016	148.054	2630	0	20
2025.10.01	03:30:00	148.054	148.215	148.054	148.098	2423	0	20
2025.10.01	04:00:00	148.096	148.157	147.992	148.023	2151	0	20
2025.10.01	04:30:00	148.023	148.034	147.93	147.943	2600	0	20
2025.10.01	05:00:00	147.942	147.965	147.875	147.944	1593	0	20
2025.10.01	05:30:00	147.944	148.0	147.899	147.903	1323	0	20
2025.10.01	06:00:00	147.904	147.951	147.858	147.934	1048	0	20
2025.10.01	06:30:00	147.934	147.989	147.891	147.916	1025	0	20
2025.10.01	07:00:00	147.912	147.947	147.847	147.868	1381	0	20
2025.10.01	07:30:00	147.868	147.868	147.542	147.543	1834	0	20
2025.10.01	08:00:00	147.543	147.633	147.45	147.485	2900	0	20
2025.10.01	08:30:00	147.486	147.568	147.473	147.516	1685	0	20
2025.10.01	09:00:00	147.517	147.517	147.317	147.331	3050	0	20
2025.10.01	09:30:00	147.331	147.354	147.157	147.219	3269	0	20
2025.10.01	10:00:00	147.22	147.22	147.01	147.178	3368	0	20
2025.10.01	10:30:00	147.178	147.311	147.088	147.114	3680	0	20
2025.10.01	11:00:00	147.113	147.115	146.983	147.031	3145	0	20
2025.10.01	11:30:00	147.032	147.142	146.891	147.14	2639	0	20
2025.10.01	12:00:00	147.139	147.166	147.071	147.128	2196	0	20
2025.10.01	12:30:00	147.129	147.215	147.059	147.198	2581	0	20
2025.10.01	13:00:00	147.199	147.234	147.112	147.221	2497	0	20
2025.10.01	13:30:00	147.222	147.255	147.05	147.066	2438	0	20
2025.10.01	14:00:00	147.066	147.099	147.012	147.035	1899	0	20
2025.10.01	14:30:00	147.034	147.093	146.984	146.993	2015	0	20
2025.10.01	15:00:00	146.991	147.108	146.578	146.89	6020	0	20
2025.10.01	15:30:00	146.89	146.904	146.695	146.788	6735	0	20
2025.10.01	16:00:00	146.785	146.863	146.688	146.698	4442	0	20
2025.10.01	16:30:00	146.7	146.754	146.61	146.697	4468	0	20
2025.10.01	17:00:00	146.688	147.037	146.678	146.888	5359	0	20
2025.10.01	17:30:00	146.888	147.026	146.704	146.85	6178	0	20
2025.10.01	18:00:00	146.857	147.202	146.832	147.166	5014	0	20
2025.10.01	18:30:00	147.165	147.178	147.072	147.139	3277	0	20
2025.10.01	19:00:00	147.142	147.213	147.082	147.159	2710	0	20
2025.10.01	19:30:00	147.158	147.243	147.139	147.15	1861	0	20
2025.10.01	20:00:00	147.15	147.182	147.102	147.143	1329	0	20
2025.10.01	20:30:00	147.143	147.168	147.109	147.157	1172	0	20
2025.10.01	21:00:00	147.156	147.219	147.029	147.031	2471	0	20
2025.10.01	21:30:00	147.031	147.081	147.011	147.079	1789	0	20
2025.10.01	22:00:00	147.08	147.149	147.044	147.124	1352	0	20
2025.10.01	22:30:00	147.125	147.137	147.068	147.086	1801	0	20
2025.10.01	23:00:00	147.086	147.155	147.065	147.144	1115	0	20
2025.10.01	23:30:00	147.146	147.154	147.053	147.061	1285	0	22
2025.10.02	00:00:00	147.02	147.035	147.02	147.031	40	0	69
2025.10.02	00:30:00	147.031	147.031	147.018	147.02	108	0	51
2025.10.02	01:00:00	147.023	147.056	147.003	147.023	523	0	21
2025.10.02	01:30:00	147.025	147.035	146.988	146.998	558	0	22
2025.10.02	02:00:00	146.997	147.058	146.988	147.047	519	0	20
2025.10.02	02:30:00	147.046	147.103	147.024	147.099	920	0	20
2025.10.02	03:00:00	147.099	147.309	147.097	147.258	2520	0	20
2025.10.02	03:30:00	147.255	147.313	147.112	147.182	2512	0	20
2025.10.02	04:00:00	147.181	147.216	147.037	147.112	2179	0	20
2025.10.02	04:30:00	147.112	147.113	146.946	146.975	1910	0	20
2025.10.02	05:00:00	146.974	147.048	146.931	147.04	1270	0	20
2025.10.02	05:30:00	147.039	147.176	147.031	147.154	791	0	20
2025.10.02	06:00:00	147.155	147.185	147.092	147.123	749	0	20
2025.10.02	06:30:00	147.123	147.156	147.04	147.074	962	0	20
2025.10.02	07:00:00	147.075	147.169	147.063	147.164	1055	0	20
2025.10.02	07:30:00	147.165	147.19	147.127	147.165	1102	0	20
2025.10.02	08:00:00	147.165	147.257	147.107	147.174	2004	0	20
2025.10.02	08:30:00	147.174	147.209	147.119	147.152	1080	0	20
2025.10.02	09:00:00	147.149	147.157	147.064	147.153	1993	0	20
2025.10.02	09:30:00	147.154	147.368	146.882	147.144	4108	0	20
2025.10.02	10:00:00	147.144	147.201	147.043	147.193	3103	0	20
2025.10.02	10:30:00	147.194	147.205	147.001	147.071	3125	0	20
2025.10.02	11:00:00	147.071	147.072	146.896	146.924	2791	0	20
2025.10.02	11:30:00	146.924	146.957	146.714	146.786	2610	0	20
2025.10.02	12:00:00	146.788	146.798	146.642	146.66	2603	0	20
2025.10.02	12:30:00	146.659	146.672	146.588	146.611	2614	0	20
2025.10.02	13:00:00	146.61	146.707	146.609	146.667	2265	0	20
2025.10.02	13:30:00	146.668	146.757	146.611	146.632	1421	0	20
2025.10.02	14:00:00	146.632	146.703	146.615	146.668	1537	0	20
2025.10.02	14:30:00	146.669	146.849	146.666	146.786	2040	0	20
2025.10.02	15:00:00	146.785	146.946	146.735	146.931	2606	0	20
2025.10.02	15:30:00	146.934	147.189	146.929	147.152	3127	0	20
2025.10.02	16:00:00	147.152	147.161	147.059	147.072	3661	0	20
2025.10.02	16:30:00	147.081	147.261	147.048	147.214	3759	0	20
2025.10.02	17:00:00	147.213	147.318	147.141	147.15	3216	0	20
2025.10.02	17:30:00	147.15	147.333	147.144	147.32	3808	0	20
2025.10.02	18:00:00	147.322	147.451	147.32	147.372	2907	0	20
2025.10.02	18:30:00	147.38	147.505	147.328	147.34	2793	0	20
2025.10.02	19:00:00	147.342	147.356	147.198	147.23	1678	0	20
2025.10.02	19:30:00	147.232	147.255	147.153	147.154	1610	0	20
2025.10.02	20:00:00	147.157	147.182	147.13	147.171	1033	0	20
2025.10.02	20:30:00	147.171	147.226	147.15	147.174	782	0	20
2025.10.02	21:00:00	147.175	147.194	147.152	147.161	804	0	20
2025.10.02	21:30:00	147.163	147.209	147.156	147.202	661	0	20
2025.10.02	22:00:00	147.201	147.206	147.119	147.15	786	0	20
2025.10.02	22:30:00	147.149	147.242	147.139	147.227	754	0	20
2025.10.02	23:00:00	147.23	147.253	147.178	147.224	554	0	20
2025.10.02	23:30:00	147.225	147.282	147.199	147.244	560	0	20
2025.10.03	00:00:00	147.175	147.237	147.175	147.208	107	0	48
2025.10.03	00:30:00	147.198	147.21	147.181	147.196	267	0	55
2025.10.03	01:00:00	147.193	147.214	147.158	147.186	414	0	21
2025.10.03	01:30:00	147.186	147.199	147.154	147.185	498	0	20
2025.10.03	02:00:00	147.182	147.196	147.082	147.106	827	0	20
2025.10.03	02:30:00	147.106	147.158	147.089	147.145	943	0	20
2025.10.03	03:00:00	147.147	147.371	147.146	147.335	1635	0	20
2025.10.03	03:30:00	147.334	147.365	147.238	147.342	2162	0	20
2025.10.03	04:00:00	147.346	147.625	147.171	147.607	3482	0	20
2025.10.03	04:30:00	147.605	147.673	147.474	147.5	1984	0	20
2025.10.03	05:00:00	147.501	147.645	147.489	147.614	1561	0	20
2025.10.03	05:30:00	147.615	147.676	147.592	147.639	1144	0	20
2025.10.03	06:00:00	147.643	147.757	147.627	147.729	1276	0	20
2025.10.03	06:30:00	147.73	147.746	147.604	147.618	1000	0	20
2025.10.03	07:00:00	147.619	147.672	147.583	147.649	724	0	20
2025.10.03	07:30:00	147.651	147.732	147.65	147.714	781	0	20
2025.10.03	08:00:00	147.713	147.764	147.562	147.625	2080	0	20
2025.10.03	08:30:00	147.625	147.806	147.6	147.773	1461	0	20
2025.10.03	09:00:00	147.773	147.793	147.52	147.578	2205	0	20
2025.10.03	09:30:00	147.578	147.648	147.49	147.594	1863	0	20
2025.10.03	10:00:00	147.593	147.672	147.482	147.518	2098	0	20
2025.10.03	10:30:00	147.521	147.521	147.398	147.404	2256	0	20
2025.10.03	11:00:00	147.403	147.416	147.346	147.396	2096	0	20
2025.10.03	11:30:00	147.399	147.429	147.267	147.319	2121	0	20
2025.10.03	12:00:00	147.319	147.424	147.3	147.388	1617	0	20
2025.10.03	12:30:00	147.388	147.396	147.305	147.359	1593	0	20
2025.10.03	13:00:00	147.359	147.372	147.316	147.359	1097	0	20
2025.10.03	13:30:00	147.359	147.38	147.3	147.313	1163	0	20
2025.10.03	14:00:00	147.312	147.411	147.297	147.331	1528	0	20
2025.10.03	14:30:00	147.331	147.335	147.209	147.267	1920	0	20
2025.10.03	15:00:00	147.266	147.356	147.238	147.3	1829	0	20
2025.10.03	15:30:00	147.292	147.401	147.22	147.254	3665	0	20
2025.10.03	16:00:00	147.253	147.344	147.209	147.212	2916	0	20
2025.10.03	16:30:00	147.214	147.373	147.206	147.349	3102	0	20
2025.10.03	17:00:00	147.32	147.508	147.057	147.425	6706	0	20
2025.10.03	17:30:00	147.425	147.498	147.369	147.436	4227	0	20
2025.10.03	18:00:00	147.435	147.481	147.353	147.396	2595	0	20
2025.10.03	18:30:00	147.396	147.409	147.296	147.327	2333	0	20
2025.10.03	19:00:00	147.326	147.493	147.318	147.47	1552	0	20
2025.10.03	19:30:00	147.471	147.526	147.455	147.494	1665	0	20
2025.10.03	20:00:00	147.495	147.504	147.397	147.428	1634	0	20
2025.10.03	20:30:00	147.428	147.503	147.403	147.495	1640	0	20
2025.10.03	21:00:00	147.496	147.534	147.479	147.518	1984	0	20
2025.10.03	21:30:00	147.519	147.52	147.457	147.489	933	0	20
2025.10.03	22:00:00	147.488	147.514	147.459	147.47	1235	0	20
2025.10.03	22:30:00	147.469	147.491	147.446	147.448	826	0	20
2025.10.03	23:00:00	147.448	147.458	147.372	147.422	765	0	20
2025.10.03	23:30:00	147.422	147.504	147.421	147.469	1055	0	22
2025.10.06	00:00:00	149.477	149.483	149.275	149.309	542	0	32
2025.10.06	00:30:00	149.309	149.314	149.09	149.102	838	0	28
