<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.01	00:00:00	143.972	144.046	142.878	143.032	58254	0	20
2025.07.01	12:00:00	143.032	143.794	142.673	143.359	63293	0	20
2025.07.02	00:00:00	143.356	144.04	143.309	143.959	55692	0	20
2025.07.02	12:00:00	143.959	144.239	143.473	143.573	72172	0	20
2025.07.03	00:00:00	143.563	143.921	143.434	143.866	40766	0	20
2025.07.03	12:00:00	143.865	145.224	143.672	144.907	66606	0	20
2025.07.04	00:00:00	144.907	144.958	144.173	144.331	41926	0	20
2025.07.04	12:00:00	144.331	144.57	144.265	144.411	47128	0	20
2025.07.07	00:00:00	144.368	145.337	144.215	145.328	50499	0	20
2025.07.07	12:00:00	145.328	146.231	145.264	146.008	57025	0	20
2025.07.08	00:00:00	146.0	146.431	145.822	146.185	54324	0	20
2025.07.08	12:00:00	146.185	146.966	146.045	146.517	66201	0	20
2025.07.09	00:00:00	146.506	147.17	146.483	146.666	48120	0	20
2025.07.09	12:00:00	146.666	146.77	146.24	146.293	47839	0	20
2025.07.10	00:00:00	146.31	146.453	145.745	146.344	32687	0	20
2025.07.10	12:00:00	146.345	146.775	146.073	146.218	38556	0	20
2025.07.11	00:00:00	146.232	147.172	146.125	146.974	36414	0	20
2025.07.11	12:00:00	146.975	147.511	146.757	147.424	40446	0	20
2025.07.14	00:00:00	147.139	147.561	146.838	147.308	40759	0	20
2025.07.14	12:00:00	147.312	147.769	147.144	147.692	38748	0	20
2025.07.15	00:00:00	147.68	147.878	147.541	147.665	26608	0	20
2025.07.15	12:00:00	147.665	149.012	147.6	148.822	50124	0	20
2025.07.16	00:00:00	148.822	149.173	148.608	148.826	38008	0	20
2025.07.16	12:00:00	148.827	148.919	146.897	147.793	76026	0	20
2025.07.17	00:00:00	147.788	148.794	147.692	148.574	36060	0	20
2025.07.17	12:00:00	148.573	149.077	148.368	148.581	52817	0	20
2025.07.18	00:00:00	148.502	148.875	148.277	148.579	36897	0	20
2025.07.18	12:00:00	148.58	148.838	148.175	148.809	49415	0	20
2025.07.21	00:00:00	147.882	148.651	147.682	147.884	40010	0	20
2025.07.21	12:00:00	147.885	147.966	147.072	147.31	46045	0	20
2025.07.22	00:00:00	147.261	147.936	147.172	147.603	35010	0	20
2025.07.22	12:00:00	147.602	147.602	146.299	146.608	51923	0	20
2025.07.23	00:00:00	146.555	147.203	146.187	146.782	66366	0	20
2025.07.23	12:00:00	146.783	146.79	146.099	146.411	59630	0	20
2025.07.24	00:00:00	146.402	146.555	145.843	146.534	50107	0	20
2025.07.24	12:00:00	146.535	147.015	146.346	146.972	65749	0	20
2025.07.25	00:00:00	146.931	147.821	146.802	147.743	47140	0	20
2025.07.25	12:00:00	147.744	147.93	147.519	147.645	62510	0	20
2025.07.28	00:00:00	147.738	148.364	147.507	148.263	52785	0	20
2025.07.28	12:00:00	148.261	148.568	147.927	148.52	58507	0	20
2025.07.29	00:00:00	148.426	148.738	148.147	148.543	47668	0	20
2025.07.29	12:00:00	148.542	148.798	148.326	148.443	56931	0	20
2025.07.30	00:00:00	148.385	148.515	147.793	147.95	44926	0	20
2025.07.30	12:00:00	147.948	149.523	147.845	149.478	79221	0	20
2025.07.31	00:00:00	149.464	149.713	148.576	149.622	59295	0	20
2025.07.31	12:00:00	149.623	150.832	149.61	150.746	75927	0	20
2025.08.01	00:00:00	150.678	150.907	150.405	150.599	50981	0	20
2025.08.01	12:00:00	150.599	150.619	147.281	147.36	118087	0	20
2025.08.04	00:00:00	147.218	148.078	147.048	147.883	60415	0	20
2025.08.04	12:00:00	147.883	147.935	146.854	147.057	66899	0	20
2025.08.05	00:00:00	147.027	147.624	146.607	147.571	56409	0	20
2025.08.05	12:00:00	147.572	147.825	147.294	147.56	69595	0	20
2025.08.06	00:00:00	147.523	147.835	147.296	147.797	45170	0	20
2025.08.06	12:00:00	147.799	147.875	146.966	147.335	61132	0	20
2025.08.07	00:00:00	147.298	147.701	146.681	147.122	52584	0	20
2025.08.07	12:00:00	147.12	147.575	146.931	147.089	72726	0	20
2025.08.08	00:00:00	146.979	147.685	146.71	147.638	45952	0	20
2025.08.08	12:00:00	147.637	147.892	147.532	147.669	60461	0	20
2025.08.11	00:00:00	147.487	147.776	147.34	147.494	33125	0	20
2025.08.11	12:00:00	147.495	148.241	147.474	148.131	39838	0	20
2025.08.12	00:00:00	148.097	148.455	147.952	148.413	37664	0	20
2025.08.12	12:00:00	148.413	148.508	147.568	147.831	74672	0	20
2025.08.13	00:00:00	147.703	148.157	147.189	147.256	42710	0	20
2025.08.13	12:00:00	147.256	147.554	147.076	147.363	56769	0	20
2025.08.14	00:00:00	147.328	147.355	146.204	146.542	51596	0	20
2025.08.14	12:00:00	146.54	147.956	146.414	147.756	66839	0	20
2025.08.15	00:00:00	147.733	147.856	146.842	146.846	40379	0	20
2025.08.15	12:00:00	146.847	147.321	146.727	147.149	55772	0	20
2025.08.18	00:00:00	147.143	147.572	147.07	147.331	37247	0	20
2025.08.18	12:00:00	147.33	147.974	147.268	147.856	37604	0	20
2025.08.19	00:00:00	147.676	148.102	147.522	147.653	35548	0	20
2025.08.19	12:00:00	147.651	147.892	147.433	147.654	44746	0	20
2025.08.20	00:00:00	147.533	147.806	147.131	147.576	38008	0	20
2025.08.20	12:00:00	147.575	147.58	146.86	147.312	46946	0	20
2025.08.21	00:00:00	147.223	147.628	147.218	147.577	32708	0	20
2025.08.21	12:00:00	147.576	148.395	147.469	148.354	42481	0	20
2025.08.22	00:00:00	148.215	148.766	148.197	148.627	29577	0	20
2025.08.22	12:00:00	148.629	148.728	146.565	146.914	62419	0	20
2025.08.25	00:00:00	146.832	147.515	146.741	147.275	28302	0	20
2025.08.25	12:00:00	147.275	147.928	147.212	147.753	40156	0	20
