<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	147.762	147.728	147.754	83	0	187
2025.10.01	00:20:00	147.756	147.837	147.753	147.836	169	0	88
2025.10.01	00:40:00	147.836	147.838	147.819	147.828	87	0	73
2025.10.01	01:00:00	147.831	147.885	147.806	147.868	428	0	25
2025.10.01	01:20:00	147.869	147.913	147.861	147.894	534	0	24
2025.10.01	01:40:00	147.894	147.912	147.884	147.897	351	0	22
2025.10.01	02:00:00	147.895	147.923	147.802	147.847	658	0	20
2025.10.01	02:20:00	147.847	147.914	147.844	147.888	457	0	20
2025.10.01	02:40:00	147.888	148.019	147.888	148.016	814	0	20
2025.10.01	03:00:00	148.016	148.143	148.016	148.05	1916	0	20
2025.10.01	03:20:00	148.049	148.156	148.016	148.152	1514	0	20
2025.10.01	03:40:00	148.153	148.215	148.085	148.098	1623	0	20
2025.10.01	04:00:00	148.096	148.157	148.043	148.043	1283	0	20
2025.10.01	04:20:00	148.043	148.06	147.953	147.966	1656	0	20
2025.10.01	04:40:00	147.967	147.992	147.93	147.943	1812	0	20
2025.10.01	05:00:00	147.942	147.965	147.875	147.889	1167	0	20
2025.10.01	05:20:00	147.89	148.0	147.877	147.968	951	0	20
2025.10.01	05:40:00	147.968	147.998	147.899	147.903	798	0	20
2025.10.01	06:00:00	147.904	147.917	147.858	147.892	798	0	20
2025.10.01	06:20:00	147.893	147.989	147.892	147.979	558	0	21
2025.10.01	06:40:00	147.979	147.98	147.891	147.916	717	0	20
2025.10.01	07:00:00	147.912	147.947	147.874	147.881	901	0	20
2025.10.01	07:20:00	147.881	147.9	147.755	147.796	1113	0	20
2025.10.01	07:40:00	147.796	147.797	147.542	147.543	1201	0	20
2025.10.01	08:00:00	147.543	147.633	147.45	147.509	2149	0	20
2025.10.01	08:20:00	147.51	147.544	147.46	147.521	1257	0	20
2025.10.01	08:40:00	147.524	147.568	147.489	147.516	1179	0	20
2025.10.01	09:00:00	147.517	147.517	147.321	147.38	2202	0	20
2025.10.01	09:20:00	147.38	147.413	147.257	147.277	1588	0	20
2025.10.01	09:40:00	147.279	147.283	147.157	147.219	2529	0	20
2025.10.01	10:00:00	147.22	147.22	147.01	147.036	2453	0	20
2025.10.01	10:20:00	147.035	147.311	147.024	147.128	2082	0	20
2025.10.01	10:40:00	147.136	147.248	147.088	147.114	2513	0	20
2025.10.01	11:00:00	147.113	147.115	146.991	146.998	2330	0	20
2025.10.01	11:20:00	147.007	147.056	146.891	146.925	1627	0	20
2025.10.01	11:40:00	146.926	147.142	146.918	147.14	1827	0	20
2025.10.01	12:00:00	147.139	147.153	147.071	147.15	1441	0	20
2025.10.01	12:20:00	147.149	147.166	147.059	147.072	1595	0	20
2025.10.01	12:40:00	147.075	147.215	147.07	147.198	1741	0	20
2025.10.01	13:00:00	147.199	147.234	147.112	147.158	1811	0	20
2025.10.01	13:20:00	147.159	147.255	147.113	147.121	1608	0	20
2025.10.01	13:40:00	147.123	147.13	147.05	147.066	1516	0	20
2025.10.01	14:00:00	147.066	147.099	147.017	147.049	1308	0	20
2025.10.01	14:20:00	147.05	147.093	147.012	147.037	1330	0	20
2025.10.01	14:40:00	147.038	147.048	146.984	146.993	1276	0	20
2025.10.01	15:00:00	146.991	147.108	146.578	146.672	3311	0	20
2025.10.01	15:20:00	146.664	146.913	146.631	146.836	5138	0	20
2025.10.01	15:40:00	146.841	146.904	146.727	146.788	4306	0	20
2025.10.01	16:00:00	146.785	146.863	146.696	146.794	3034	0	20
2025.10.01	16:20:00	146.792	146.818	146.617	146.719	3221	0	20
2025.10.01	16:40:00	146.718	146.735	146.61	146.697	2655	0	20
2025.10.01	17:00:00	146.688	147.037	146.678	146.963	3862	0	20
2025.10.01	17:20:00	146.969	147.025	146.757	146.78	2612	0	20
2025.10.01	17:40:00	146.778	147.026	146.704	146.85	5063	0	20
2025.10.01	18:00:00	146.857	147.202	146.832	147.155	3310	0	20
2025.10.01	18:20:00	147.157	147.196	147.099	147.156	3068	0	20
2025.10.01	18:40:00	147.155	147.155	147.072	147.139	1913	0	20
2025.10.01	19:00:00	147.142	147.213	147.082	147.184	1962	0	20
2025.10.01	19:20:00	147.185	147.232	147.142	147.224	1398	0	20
2025.10.01	19:40:00	147.224	147.243	147.139	147.15	1211	0	20
2025.10.01	20:00:00	147.15	147.182	147.117	147.124	926	0	20
2025.10.01	20:20:00	147.123	147.156	147.102	147.136	726	0	20
2025.10.01	20:40:00	147.134	147.168	147.109	147.157	849	0	20
2025.10.01	21:00:00	147.156	147.219	147.065	147.069	1857	0	20
2025.10.01	21:20:00	147.075	147.091	147.011	147.028	1167	0	20
2025.10.01	21:40:00	147.029	147.081	147.028	147.079	1236	0	20
2025.10.01	22:00:00	147.08	147.089	147.044	147.078	893	0	20
2025.10.01	22:20:00	147.077	147.149	147.072	147.122	962	0	20
2025.10.01	22:40:00	147.122	147.129	147.068	147.086	1298	0	20
2025.10.01	23:00:00	147.086	147.136	147.065	147.117	839	0	20
2025.10.01	23:20:00	147.117	147.155	147.102	147.11	499	0	20
2025.10.01	23:40:00	147.109	147.115	147.053	147.061	1062	0	22
2025.10.02	00:00:00	147.02	147.03	147.02	147.03	20	0	85
2025.10.02	00:20:00	147.03	147.035	147.02	147.023	35	0	69
2025.10.02	00:40:00	147.024	147.027	147.018	147.02	93	0	51
2025.10.02	01:00:00	147.023	147.056	147.003	147.035	342	0	21
2025.10.02	01:20:00	147.035	147.036	147.009	147.024	348	0	21
2025.10.02	01:40:00	147.014	147.017	146.988	146.998	391	0	22
2025.10.02	02:00:00	146.997	147.05	146.988	147.037	341	0	20
2025.10.02	02:20:00	147.038	147.06	147.024	147.058	335	0	20
2025.10.02	02:40:00	147.057	147.103	147.031	147.099	763	0	20
2025.10.02	03:00:00	147.099	147.309	147.097	147.201	1742	0	20
2025.10.02	03:20:00	147.203	147.313	147.197	147.303	1514	0	20
2025.10.02	03:40:00	147.304	147.31	147.112	147.182	1776	0	20
2025.10.02	04:00:00	147.181	147.216	147.085	147.102	1412	0	20
2025.10.02	04:20:00	147.102	147.132	146.96	146.963	1446	0	20
2025.10.02	04:40:00	146.962	147.066	146.946	146.975	1231	0	20
2025.10.02	05:00:00	146.974	147.028	146.931	147.001	980	0	20
2025.10.02	05:20:00	147.001	147.137	147.0	147.124	636	0	20
2025.10.02	05:40:00	147.125	147.176	147.109	147.154	445	0	20
2025.10.02	06:00:00	147.155	147.185	147.125	147.145	457	0	20
2025.10.02	06:20:00	147.145	147.156	147.092	147.094	624	0	20
2025.10.02	06:40:00	147.095	147.131	147.04	147.074	630	0	20
2025.10.02	07:00:00	147.075	147.157	147.063	147.133	709	0	20
2025.10.02	07:20:00	147.133	147.188	147.124	147.139	698	0	20
2025.10.02	07:40:00	147.14	147.19	147.137	147.165	750	0	20
2025.10.02	08:00:00	147.165	147.257	147.107	147.173	1512	0	20
2025.10.02	08:20:00	147.172	147.211	147.143	147.203	815	0	20
2025.10.02	08:40:00	147.203	147.205	147.119	147.152	757	0	20
2025.10.02	09:00:00	147.149	147.153	147.064	147.112	1584	0	20
2025.10.02	09:20:00	147.112	147.191	146.882	147.08	2059	0	20
2025.10.02	09:40:00	147.08	147.368	147.08	147.144	2458	0	20
2025.10.02	10:00:00	147.144	147.185	147.043	147.101	2318	0	20
2025.10.02	10:20:00	147.1	147.205	147.078	147.121	1818	0	20
2025.10.02	10:40:00	147.122	147.127	147.001	147.071	2092	0	20
2025.10.02	11:00:00	147.071	147.072	146.91	146.947	2160	0	20
2025.10.02	11:20:00	146.948	146.984	146.88	146.902	1559	0	20
2025.10.02	11:40:00	146.904	146.957	146.714	146.786	1682	0	20
2025.10.02	12:00:00	146.788	146.798	146.68	146.701	1868	0	20
2025.10.02	12:20:00	146.7	146.743	146.601	146.632	1544	0	20
2025.10.02	12:40:00	146.633	146.656	146.588	146.611	1805	0	20
2025.10.02	13:00:00	146.61	146.707	146.609	146.695	1770	0	20
2025.10.02	13:20:00	146.697	146.719	146.643	146.713	924	0	20
2025.10.02	13:40:00	146.713	146.757	146.611	146.632	992	0	20
2025.10.02	14:00:00	146.632	146.703	146.615	146.668	1121	0	20
2025.10.02	14:20:00	146.668	146.724	146.636	146.723	1010	0	20
2025.10.02	14:40:00	146.722	146.849	146.72	146.786	1446	0	20
2025.10.02	15:00:00	146.785	146.861	146.735	146.853	1746	0	20
2025.10.02	15:20:00	146.852	146.997	146.836	146.977	1672	0	20
2025.10.02	15:40:00	146.976	147.189	146.976	147.152	2315	0	20
2025.10.02	16:00:00	147.152	147.161	147.059	147.086	2541	0	20
2025.10.02	16:20:00	147.085	147.154	147.048	147.149	2377	0	20
2025.10.02	16:40:00	147.151	147.261	147.15	147.214	2502	0	20
2025.10.02	17:00:00	147.213	147.318	147.191	147.227	2136	0	20
2025.10.02	17:20:00	147.228	147.273	147.141	147.208	2424	0	20
2025.10.02	17:40:00	147.207	147.333	147.183	147.32	2464	0	20
2025.10.02	18:00:00	147.322	147.451	147.32	147.415	2104	0	20
2025.10.02	18:20:00	147.415	147.504	147.331	147.503	1810	0	20
2025.10.02	18:40:00	147.504	147.505	147.328	147.34	1786	0	20
2025.10.02	19:00:00	147.342	147.356	147.198	147.226	1097	0	20
2025.10.02	19:20:00	147.226	147.269	147.205	147.225	1318	0	20
2025.10.02	19:40:00	147.226	147.255	147.153	147.154	873	0	20
2025.10.02	20:00:00	147.157	147.182	147.13	147.147	744	0	20
2025.10.02	20:20:00	147.147	147.226	147.14	147.18	605	0	20
2025.10.02	20:40:00	147.18	147.194	147.15	147.174	466	0	20
2025.10.02	21:00:00	147.175	147.194	147.152	147.167	564	0	20
2025.10.02	21:20:00	147.166	147.191	147.158	147.162	425	0	20
2025.10.02	21:40:00	147.163	147.209	147.156	147.202	476	0	20
2025.10.02	22:00:00	147.201	147.206	147.119	147.149	546	0	20
