<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	147.747	147.729	147.731	14	0	221
2025.10.01	00:06:00	147.728	147.762	147.728	147.762	24	0	195
2025.10.01	00:12:00	147.744	147.757	147.744	147.75	30	0	187
2025.10.01	00:18:00	147.75	147.762	147.749	147.755	30	0	190
2025.10.01	00:24:00	147.754	147.773	147.753	147.761	16	0	178
2025.10.01	00:30:00	147.771	147.826	147.763	147.82	113	0	107
2025.10.01	00:36:00	147.82	147.837	147.812	147.837	27	0	84
2025.10.01	00:42:00	147.837	147.837	147.819	147.834	29	0	77
2025.10.01	00:48:00	147.834	147.836	147.832	147.833	15	0	74
2025.10.01	00:54:00	147.833	147.838	147.828	147.828	41	0	73
2025.10.01	01:00:00	147.831	147.885	147.806	147.829	165	0	30
2025.10.01	01:06:00	147.828	147.867	147.825	147.86	55	0	28
2025.10.01	01:12:00	147.86	147.876	147.841	147.869	119	0	25
2025.10.01	01:18:00	147.869	147.875	147.861	147.87	215	0	28
2025.10.01	01:24:00	147.87	147.895	147.861	147.895	157	0	27
2025.10.01	01:30:00	147.897	147.913	147.886	147.891	168	0	24
2025.10.01	01:36:00	147.892	147.9	147.891	147.893	103	0	26
2025.10.01	01:42:00	147.893	147.912	147.891	147.903	68	0	22
2025.10.01	01:48:00	147.902	147.911	147.894	147.897	102	0	24
2025.10.01	01:54:00	147.898	147.908	147.884	147.897	161	0	22
2025.10.01	02:00:00	147.895	147.923	147.853	147.855	273	0	20
2025.10.01	02:06:00	147.855	147.857	147.802	147.806	193	0	20
2025.10.01	02:12:00	147.804	147.856	147.804	147.825	121	0	20
2025.10.01	02:18:00	147.824	147.886	147.816	147.883	242	0	20
2025.10.01	02:24:00	147.884	147.892	147.859	147.891	97	0	22
2025.10.01	02:30:00	147.891	147.914	147.872	147.876	113	0	20
2025.10.01	02:36:00	147.876	147.903	147.876	147.898	146	0	20
2025.10.01	02:42:00	147.898	147.941	147.897	147.921	208	0	20
2025.10.01	02:48:00	147.921	147.963	147.899	147.96	270	0	21
2025.10.01	02:54:00	147.961	148.019	147.954	148.016	266	0	20
2025.10.01	03:00:00	148.016	148.143	148.016	148.132	710	0	20
2025.10.01	03:06:00	148.131	148.138	148.062	148.079	533	0	20
2025.10.01	03:12:00	148.078	148.089	148.055	148.072	462	0	20
2025.10.01	03:18:00	148.072	148.072	148.02	148.023	473	0	20
2025.10.01	03:24:00	148.022	148.059	148.016	148.054	452	0	21
2025.10.01	03:30:00	148.054	148.132	148.054	148.121	546	0	20
2025.10.01	03:36:00	148.119	148.167	148.103	148.127	368	0	20
2025.10.01	03:42:00	148.128	148.215	148.121	148.175	528	0	20
2025.10.01	03:48:00	148.174	148.181	148.109	148.116	399	0	20
2025.10.01	03:54:00	148.115	148.135	148.085	148.098	582	0	20
2025.10.01	04:00:00	148.096	148.153	148.075	148.151	363	0	20
2025.10.01	04:06:00	148.148	148.157	148.084	148.098	357	0	20
2025.10.01	04:12:00	148.097	148.099	148.052	148.062	427	0	20
2025.10.01	04:18:00	148.063	148.076	148.032	148.044	437	0	21
2025.10.01	04:24:00	148.043	148.043	147.992	148.023	567	0	20
2025.10.01	04:30:00	148.023	148.034	147.981	147.982	461	0	20
2025.10.01	04:36:00	147.98	148.004	147.947	147.983	513	0	20
2025.10.01	04:42:00	147.983	147.983	147.942	147.971	580	0	20
2025.10.01	04:48:00	147.971	147.991	147.953	147.98	569	0	20
2025.10.01	04:54:00	147.979	147.991	147.93	147.943	477	0	20
2025.10.01	05:00:00	147.942	147.965	147.902	147.911	452	0	20
2025.10.01	05:06:00	147.911	147.949	147.894	147.945	296	0	20
2025.10.01	05:12:00	147.945	147.952	147.909	147.913	250	0	20
2025.10.01	05:18:00	147.913	147.913	147.875	147.91	318	0	20
2025.10.01	05:24:00	147.909	147.946	147.9	147.944	277	0	20
2025.10.01	05:30:00	147.944	147.975	147.939	147.971	325	0	20
2025.10.01	05:36:00	147.97	148.0	147.959	147.979	274	0	20
2025.10.01	05:42:00	147.98	147.998	147.978	147.993	268	0	21
2025.10.01	05:48:00	147.995	147.995	147.945	147.958	136	0	20
2025.10.01	05:54:00	147.957	147.96	147.899	147.903	320	0	21
2025.10.01	06:00:00	147.904	147.917	147.885	147.888	309	0	22
2025.10.01	06:06:00	147.888	147.906	147.858	147.883	217	0	20
2025.10.01	06:12:00	147.882	147.903	147.878	147.885	165	0	21
2025.10.01	06:18:00	147.885	147.931	147.881	147.922	226	0	21
2025.10.01	06:24:00	147.923	147.951	147.923	147.934	131	0	21
2025.10.01	06:30:00	147.934	147.985	147.934	147.984	184	0	21
2025.10.01	06:36:00	147.984	147.989	147.964	147.965	193	0	21
2025.10.01	06:42:00	147.965	147.98	147.919	147.922	274	0	20
2025.10.01	06:48:00	147.922	147.953	147.921	147.951	160	0	21
2025.10.01	06:54:00	147.952	147.954	147.891	147.916	214	0	21
2025.10.01	07:00:00	147.912	147.943	147.906	147.928	272	0	20
2025.10.01	07:06:00	147.927	147.947	147.912	147.934	274	0	21
2025.10.01	07:12:00	147.934	147.945	147.892	147.892	210	0	20
2025.10.01	07:18:00	147.891	147.9	147.847	147.859	356	0	21
2025.10.01	07:24:00	147.859	147.897	147.855	147.868	269	0	20
2025.10.01	07:30:00	147.868	147.868	147.755	147.76	433	0	20
2025.10.01	07:36:00	147.761	147.811	147.759	147.763	326	0	20
2025.10.01	07:42:00	147.763	147.773	147.726	147.735	267	0	21
2025.10.01	07:48:00	147.736	147.736	147.607	147.639	382	0	20
2025.10.01	07:54:00	147.639	147.652	147.542	147.543	426	0	20
2025.10.01	08:00:00	147.543	147.543	147.45	147.49	838	0	20
2025.10.01	08:06:00	147.49	147.596	147.488	147.59	579	0	21
2025.10.01	08:12:00	147.595	147.633	147.501	147.518	547	0	20
2025.10.01	08:18:00	147.519	147.544	147.499	147.51	453	0	20
2025.10.01	08:24:00	147.506	147.521	147.46	147.485	483	0	20
2025.10.01	08:30:00	147.486	147.536	147.473	147.512	291	0	20
2025.10.01	08:36:00	147.514	147.548	147.493	147.524	376	0	20
2025.10.01	08:42:00	147.523	147.543	147.511	147.529	288	0	20
2025.10.01	08:48:00	147.53	147.566	147.517	147.563	245	0	20
2025.10.01	08:54:00	147.564	147.568	147.489	147.516	485	0	20
2025.10.01	09:00:00	147.517	147.517	147.425	147.431	733	0	20
2025.10.01	09:06:00	147.43	147.43	147.353	147.386	670	0	20
2025.10.01	09:12:00	147.387	147.404	147.322	147.322	641	0	20
2025.10.01	09:18:00	147.322	147.413	147.321	147.368	612	0	20
