<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	147.756	147.728	147.736	34	0	221
2025.10.01	00:10:00	147.752	147.762	147.744	147.754	49	0	187
2025.10.01	00:20:00	147.756	147.773	147.753	147.761	31	0	178
2025.10.01	00:30:00	147.771	147.837	147.763	147.836	138	0	88
2025.10.01	00:40:00	147.836	147.837	147.819	147.832	34	0	75
2025.10.01	00:50:00	147.832	147.838	147.828	147.828	53	0	73
2025.10.01	01:00:00	147.831	147.885	147.806	147.848	195	0	28
2025.10.01	01:10:00	147.851	147.876	147.841	147.868	233	0	25
2025.10.01	01:20:00	147.869	147.895	147.861	147.895	283	0	27
2025.10.01	01:30:00	147.897	147.913	147.886	147.894	251	0	24
2025.10.01	01:40:00	147.894	147.912	147.891	147.909	106	0	22
2025.10.01	01:50:00	147.908	147.911	147.884	147.897	245	0	22
2025.10.01	02:00:00	147.895	147.923	147.804	147.806	436	0	20
2025.10.01	02:10:00	147.805	147.856	147.802	147.847	222	0	20
2025.10.01	02:20:00	147.847	147.892	147.844	147.891	268	0	20
2025.10.01	02:30:00	147.891	147.914	147.872	147.888	189	0	20
2025.10.01	02:40:00	147.888	147.941	147.888	147.925	373	0	20
2025.10.01	02:50:00	147.924	148.019	147.913	148.016	441	0	20
2025.10.01	03:00:00	148.016	148.143	148.016	148.098	1087	0	20
2025.10.01	03:10:00	148.097	148.098	148.041	148.05	829	0	20
2025.10.01	03:20:00	148.049	148.059	148.016	148.054	714	0	20
2025.10.01	03:30:00	148.054	148.156	148.054	148.152	800	0	20
2025.10.01	03:40:00	148.153	148.215	148.121	148.133	754	0	20
2025.10.01	03:50:00	148.131	148.157	148.085	148.098	869	0	20
2025.10.01	04:00:00	148.096	148.157	148.075	148.129	591	0	20
2025.10.01	04:10:00	148.128	148.13	148.043	148.043	692	0	20
2025.10.01	04:20:00	148.043	148.06	147.992	148.023	868	0	20
2025.10.01	04:30:00	148.023	148.034	147.953	147.966	788	0	20
2025.10.01	04:40:00	147.967	147.992	147.942	147.968	940	0	20
2025.10.01	04:50:00	147.967	147.991	147.93	147.943	872	0	20
2025.10.01	05:00:00	147.942	147.965	147.894	147.918	650	0	20
2025.10.01	05:10:00	147.918	147.952	147.875	147.889	517	0	20
2025.10.01	05:20:00	147.89	147.946	147.877	147.944	426	0	20
2025.10.01	05:30:00	147.944	148.0	147.939	147.968	525	0	20
2025.10.01	05:40:00	147.968	147.998	147.959	147.989	382	0	20
2025.10.01	05:50:00	147.987	147.99	147.899	147.903	416	0	20
2025.10.01	06:00:00	147.904	147.917	147.858	147.878	426	0	20
2025.10.01	06:10:00	147.879	147.906	147.878	147.892	372	0	20
2025.10.01	06:20:00	147.893	147.951	147.892	147.934	250	0	21
2025.10.01	06:30:00	147.934	147.989	147.934	147.979	308	0	21
2025.10.01	06:40:00	147.979	147.98	147.919	147.922	380	0	20
2025.10.01	06:50:00	147.923	147.954	147.891	147.916	337	0	21
2025.10.01	07:00:00	147.912	147.947	147.906	147.93	483	0	20
2025.10.01	07:10:00	147.928	147.945	147.874	147.881	418	0	20
2025.10.01	07:20:00	147.881	147.9	147.847	147.868	480	0	20
2025.10.01	07:30:00	147.868	147.868	147.755	147.796	633	0	20
2025.10.01	07:40:00	147.796	147.797	147.699	147.723	506	0	20
2025.10.01	07:50:00	147.723	147.725	147.542	147.543	695	0	20
2025.10.01	08:00:00	147.543	147.582	147.45	147.547	1263	0	20
2025.10.01	08:10:00	147.547	147.633	147.499	147.509	886	0	20
2025.10.01	08:20:00	147.51	147.544	147.46	147.485	751	0	20
2025.10.01	08:30:00	147.486	147.536	147.473	147.521	506	0	20
2025.10.01	08:40:00	147.524	147.548	147.503	147.543	528	0	20
2025.10.01	08:50:00	147.542	147.568	147.489	147.516	651	0	20
2025.10.01	09:00:00	147.517	147.517	147.353	147.37	1233	0	20
2025.10.01	09:10:00	147.37	147.404	147.321	147.38	969	0	20
2025.10.01	09:20:00	147.38	147.413	147.317	147.331	848	0	20
2025.10.01	09:30:00	147.331	147.354	147.257	147.277	740	0	20
2025.10.01	09:40:00	147.279	147.283	147.157	147.158	1333	0	20
2025.10.01	09:50:00	147.157	147.263	147.157	147.219	1196	0	20
2025.10.01	10:00:00	147.22	147.22	147.095	147.114	1272	0	20
2025.10.01	10:10:00	147.114	147.114	147.01	147.036	1181	0	20
2025.10.01	10:20:00	147.035	147.203	147.024	147.178	915	0	20
2025.10.01	10:30:00	147.178	147.311	147.128	147.128	1167	0	20
2025.10.01	10:40:00	147.136	147.248	147.097	147.104	1373	0	20
2025.10.01	10:50:00	147.104	147.186	147.088	147.114	1140	0	20
2025.10.01	11:00:00	147.113	147.115	147.042	147.08	1236	0	20
2025.10.01	11:10:00	147.08	147.089	146.991	146.998	1094	0	20
2025.10.01	11:20:00	147.007	147.042	146.983	147.031	815	0	20
2025.10.01	11:30:00	147.032	147.056	146.891	146.925	812	0	20
2025.10.01	11:40:00	146.926	147.1	146.918	147.051	779	0	20
2025.10.01	11:50:00	147.051	147.142	147.028	147.14	1048	0	20
2025.10.01	12:00:00	147.139	147.15	147.086	147.096	605	0	20
2025.10.01	12:10:00	147.095	147.153	147.071	147.15	836	0	20
2025.10.01	12:20:00	147.149	147.166	147.107	147.128	755	0	20
2025.10.01	12:30:00	147.129	147.161	147.059	147.072	840	0	20
2025.10.01	12:40:00	147.075	147.138	147.07	147.097	915	0	20
2025.10.01	12:50:00	147.096	147.215	147.096	147.198	826	0	20
2025.10.01	13:00:00	147.199	147.234	147.186	147.22	798	0	20
2025.10.01	13:10:00	147.219	147.22	147.112	147.158	1013	0	20
2025.10.01	13:20:00	147.159	147.232	147.155	147.221	686	0	20
2025.10.01	13:30:00	147.222	147.255	147.113	147.121	922	0	20
2025.10.01	13:40:00	147.123	147.127	147.05	147.065	801	0	20
2025.10.01	13:50:00	147.066	147.13	147.061	147.066	715	0	20
2025.10.01	14:00:00	147.066	147.082	147.039	147.053	647	0	20
2025.10.01	14:10:00	147.053	147.099	147.017	147.049	661	0	20
2025.10.01	14:20:00	147.05	147.078	147.012	147.035	591	0	20
2025.10.01	14:30:00	147.034	147.093	147.027	147.037	739	0	20
2025.10.01	14:40:00	147.038	147.048	146.996	147.018	541	0	20
2025.10.01	14:50:00	147.023	147.043	146.984	146.993	735	0	20
2025.10.01	15:00:00	146.991	147.102	146.968	147.098	1084	0	20
2025.10.01	15:10:00	147.097	147.108	146.578	146.672	2227	0	20
2025.10.01	15:20:00	146.664	146.913	146.631	146.89	2709	0	20
2025.10.01	15:30:00	146.89	146.895	146.695	146.836	2429	0	20
2025.10.01	15:40:00	146.841	146.904	146.727	146.817	2212	0	20
2025.10.01	15:50:00	146.815	146.899	146.779	146.788	2094	0	20
2025.10.01	16:00:00	146.785	146.817	146.696	146.721	1593	0	20
2025.10.01	16:10:00	146.72	146.863	146.708	146.794	1441	0	20
2025.10.01	16:20:00	146.792	146.818	146.688	146.698	1408	0	20
2025.10.01	16:30:00	146.7	146.754	146.617	146.719	1813	0	20
2025.10.01	16:40:00	146.718	146.718	146.61	146.611	1456	0	20
2025.10.01	16:50:00	146.611	146.735	146.611	146.697	1199	0	20
2025.10.01	17:00:00	146.688	146.904	146.678	146.898	2077	0	20
2025.10.01	17:10:00	146.899	147.037	146.899	146.963	1785	0	20
2025.10.01	17:20:00	146.969	147.025	146.878	146.888	1497	0	20
2025.10.01	17:30:00	146.888	146.902	146.757	146.78	1115	0	20
2025.10.01	17:40:00	146.778	147.026	146.704	146.835	2261	0	20
2025.10.01	17:50:00	146.836	146.926	146.795	146.85	2802	0	20
2025.10.01	18:00:00	146.857	147.008	146.832	146.978	1686	0	20
2025.10.01	18:10:00	146.978	147.202	146.952	147.155	1624	0	20
2025.10.01	18:20:00	147.157	147.196	147.099	147.166	1704	0	20
2025.10.01	18:30:00	147.165	147.178	147.111	147.156	1364	0	20
2025.10.01	18:40:00	147.155	147.155	147.072	147.092	1030	0	20
2025.10.01	18:50:00	147.091	147.145	147.075	147.139	883	0	20
2025.10.01	19:00:00	147.142	147.213	147.082	147.11	1215	0	20
2025.10.01	19:10:00	147.11	147.209	147.108	147.184	747	0	20
2025.10.01	19:20:00	147.185	147.21	147.142	147.159	748	0	20
2025.10.01	19:30:00	147.158	147.232	147.153	147.224	650	0	20
2025.10.01	19:40:00	147.224	147.243	147.14	147.158	714	0	20
2025.10.01	19:50:00	147.158	147.202	147.139	147.15	497	0	20
2025.10.01	20:00:00	147.15	147.182	147.124	147.134	560	0	20
2025.10.01	20:10:00	147.137	147.151	147.117	147.124	366	0	20
2025.10.01	20:20:00	147.123	147.143	147.102	147.143	403	0	20
2025.10.01	20:30:00	147.143	147.156	147.113	147.136	323	0	20
