<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	147.747	147.742	147.743	11	0	221
2025.10.01	00:05:00	147.738	147.756	147.728	147.736	23	0	221
2025.10.01	00:10:00	147.752	147.762	147.744	147.752	17	0	194
2025.10.01	00:15:00	147.751	147.757	147.749	147.754	32	0	187
2025.10.01	00:20:00	147.756	147.762	147.753	147.76	22	0	190
2025.10.01	00:25:00	147.76	147.773	147.76	147.761	9	0	178
2025.10.01	00:30:00	147.771	147.826	147.763	147.82	101	0	109
2025.10.01	00:35:00	147.82	147.837	147.812	147.836	37	0	88
2025.10.01	00:40:00	147.836	147.837	147.819	147.831	20	0	81
2025.10.01	00:45:00	147.831	147.837	147.831	147.832	14	0	75
2025.10.01	00:50:00	147.832	147.836	147.832	147.833	12	0	74
2025.10.01	00:55:00	147.833	147.838	147.828	147.828	41	0	73
2025.10.01	01:00:00	147.831	147.885	147.806	147.84	152	0	30
2025.10.01	01:05:00	147.84	147.851	147.825	147.848	43	0	28
2025.10.01	01:10:00	147.851	147.875	147.841	147.867	97	0	25
2025.10.01	01:15:00	147.866	147.876	147.861	147.868	136	0	28
2025.10.01	01:20:00	147.869	147.875	147.861	147.87	164	0	28
2025.10.01	01:25:00	147.871	147.895	147.863	147.895	119	0	27
2025.10.01	01:30:00	147.897	147.913	147.886	147.894	165	0	24
2025.10.01	01:35:00	147.894	147.9	147.891	147.894	86	0	26
2025.10.01	01:40:00	147.894	147.9	147.891	147.897	60	0	27
2025.10.01	01:45:00	147.903	147.912	147.897	147.909	46	0	22
2025.10.01	01:50:00	147.908	147.911	147.887	147.895	102	0	23
2025.10.01	01:55:00	147.895	147.908	147.884	147.897	143	0	22
2025.10.01	02:00:00	147.895	147.923	147.853	147.858	235	0	20
2025.10.01	02:05:00	147.858	147.868	147.804	147.806	201	0	20
2025.10.01	02:10:00	147.805	147.856	147.802	147.834	101	0	20
2025.10.01	02:15:00	147.834	147.851	147.816	147.847	121	0	21
2025.10.01	02:20:00	147.847	147.886	147.844	147.877	185	0	20
2025.10.01	02:25:00	147.876	147.892	147.859	147.891	83	0	22
2025.10.01	02:30:00	147.891	147.914	147.875	147.878	99	0	20
2025.10.01	02:35:00	147.878	147.903	147.872	147.888	90	0	20
2025.10.01	02:40:00	147.888	147.924	147.888	147.909	137	0	22
2025.10.01	02:45:00	147.909	147.941	147.899	147.925	236	0	20
2025.10.01	02:50:00	147.924	147.963	147.913	147.961	211	0	21
2025.10.01	02:55:00	147.966	148.019	147.964	148.016	230	0	20
2025.10.01	03:00:00	148.016	148.113	148.016	148.109	565	0	20
2025.10.01	03:05:00	148.108	148.143	148.062	148.098	522	0	20
2025.10.01	03:10:00	148.097	148.098	148.055	148.064	399	0	20
2025.10.01	03:15:00	148.064	148.084	148.041	148.05	430	0	20
2025.10.01	03:20:00	148.049	148.057	148.016	148.018	329	0	20
2025.10.01	03:25:00	148.017	148.059	148.017	148.054	385	0	21
2025.10.01	03:30:00	148.054	148.12	148.054	148.087	445	0	20
2025.10.01	03:35:00	148.087	148.156	148.086	148.152	355	0	20
2025.10.01	03:40:00	148.153	148.186	148.121	148.177	367	0	20
2025.10.01	03:45:00	148.178	148.215	148.13	148.133	387	0	20
2025.10.01	03:50:00	148.131	148.157	148.086	148.111	435	0	20
2025.10.01	03:55:00	148.107	148.135	148.085	148.098	434	0	20
2025.10.01	04:00:00	148.096	148.145	148.075	148.128	313	0	20
2025.10.01	04:05:00	148.129	148.157	148.122	148.129	278	0	20
2025.10.01	04:10:00	148.128	148.13	148.052	148.082	321	0	20
2025.10.01	04:15:00	148.081	148.09	148.043	148.043	371	0	20
2025.10.01	04:20:00	148.043	148.06	148.007	148.008	392	0	20
2025.10.01	04:25:00	148.007	148.029	147.992	148.023	476	0	20
2025.10.01	04:30:00	148.023	148.034	147.991	148.003	407	0	20
2025.10.01	04:35:00	148.003	148.009	147.953	147.966	381	0	20
2025.10.01	04:40:00	147.967	147.992	147.947	147.952	426	0	20
2025.10.01	04:45:00	147.952	147.98	147.942	147.968	514	0	20
2025.10.01	04:50:00	147.967	147.991	147.953	147.988	475	0	20
2025.10.01	04:55:00	147.989	147.99	147.93	147.943	397	0	20
2025.10.01	05:00:00	147.942	147.965	147.918	147.93	358	0	20
