<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	148.215	147.728	147.903	16301	0	20
2025.10.01	06:00:00	147.904	147.989	146.891	147.14	29024	0	20
2025.10.01	12:00:00	147.139	147.255	146.578	146.85	46828	0	20
2025.10.01	18:00:00	146.857	147.243	146.832	147.061	25176	0	20
2025.10.02	00:00:00	147.02	147.313	146.931	147.154	13850	0	20
2025.10.02	06:00:00	147.155	147.368	146.714	146.786	24682	0	20
2025.10.02	12:00:00	146.788	147.333	146.588	147.32	32657	0	20
2025.10.02	18:00:00	147.322	147.505	147.119	147.244	14922	0	20
2025.10.03	00:00:00	147.175	147.676	147.082	147.639	15024	0	20
2025.10.03	06:00:00	147.643	147.806	147.267	147.319	19961	0	20
2025.10.03	12:00:00	147.319	147.508	147.057	147.436	31363	0	20
2025.10.03	18:00:00	147.435	147.534	147.296	147.469	18217	0	20
2025.10.06	00:00:00	149.477	149.908	149.028	149.861	33321	0	20
2025.10.06	06:00:00	149.86	150.425	149.811	150.357	36218	0	20
2025.10.06	12:00:00	150.358	150.467	149.742	149.951	41914	0	20
2025.10.06	18:00:00	149.952	150.386	149.911	150.338	15510	0	20
2025.10.07	00:00:00	150.238	150.608	150.19	150.52	16150	0	20
2025.10.07	06:00:00	150.521	150.821	150.237	150.783	19545	0	20
2025.10.07	12:00:00	150.782	151.195	150.696	151.167	26906	0	20
2025.10.07	18:00:00	151.166	152.033	150.97	151.88	24295	0	20
2025.10.08	00:00:00	151.877	152.637	151.725	152.473	22299	0	20
2025.10.08	06:00:00	152.474	152.775	152.241	152.734	26956	0	20
2025.10.08	12:00:00	152.734	152.988	152.363	152.505	31784	0	20
2025.10.08	18:00:00	152.505	152.935	152.501	152.681	18461	0	20
2025.10.09	00:00:00	152.598	152.755	152.397	152.452	20947	0	20
2025.10.09	06:00:00	152.454	153.209	152.44	152.791	25508	0	20
2025.10.09	12:00:00	152.79	153.174	152.099	153.032	40059	0	20
2025.10.09	18:00:00	153.032	153.221	152.898	153.059	29029	0	20
2025.10.10	00:00:00	152.951	153.262	152.829	152.903	19119	0	20
2025.10.10	06:00:00	152.907	152.939	152.366	152.635	31268	0	20
2025.10.10	12:00:00	152.635	152.836	152.408	152.45	31202	0	20
2025.10.10	18:00:00	152.448	152.448	151.154	151.162	51810	0	20
2025.10.13	00:00:00	151.847	152.267	151.729	151.926	29928	0	20
2025.10.13	06:00:00	151.926	152.438	151.712	152.33	25118	0	20
2025.10.13	12:00:00	152.331	152.438	151.968	152.363	31331	0	20
2025.10.13	18:00:00	152.363	152.382	152.188	152.28	16576	0	20
2025.10.14	00:00:00	152.144	152.603	152.105	152.37	18613	0	20
2025.10.14	06:00:00	152.37	152.383	151.606	151.966	42232	0	20
2025.10.14	12:00:00	151.965	152.152	151.81	151.821	40671	0	20
2025.10.14	18:00:00	151.82	151.927	151.593	151.818	30842	0	20
2025.10.15	00:00:00	151.714	151.861	151.022	151.047	21012	0	20
2025.10.15	06:00:00	151.046	151.387	150.888	151.208	24423	0	20
2025.10.15	12:00:00	151.208	151.727	151.208	151.39	37927	0	20
2025.10.15	18:00:00	151.391	151.45	151.028	151.038	29615	0	20
2025.10.16	00:00:00	151.02	151.122	150.501	150.763	23117	0	20
2025.10.16	06:00:00	150.764	151.372	150.718	151.232	28375	0	20
2025.10.16	12:00:00	151.231	151.388	150.744	150.763	37867	0	20
2025.10.16	18:00:00	150.765	150.857	150.202	150.408	44495	0	20
2025.10.17	00:00:00	150.344	150.422	150.034	150.172	25614	0	20
2025.10.17	06:00:00	150.171	150.171	149.367	149.77	41115	0	20
2025.10.17	12:00:00	149.765	150.581	149.594	150.415	61602	0	20
2025.10.17	18:00:00	150.415	150.627	150.195	150.615	28801	0	20
2025.10.20	00:00:00	150.364	151.19	150.317	150.854	20965	0	20
2025.10.20	06:00:00	150.853	150.876	150.487	150.573	28338	0	20
2025.10.20	12:00:00	150.57	150.846	150.263	150.583	30977	0	20
2025.10.20	18:00:00	150.582	150.816	150.474	150.727	14679	0	20
2025.10.21	00:00:00	150.61	151.135	150.459	151.112	19910	0	20
2025.10.21	06:00:00	151.112	151.668	150.85	151.599	38467	0	20
2025.10.21	12:00:00	151.597	152.166	151.446	151.859	41903	0	20
2025.10.21	18:00:00	151.86	151.962	151.645	151.915	18240	0	20
2025.10.22	00:00:00	151.853	151.949	151.478	151.621	15947	0	20
2025.10.22	06:00:00	151.621	151.941	151.609	151.678	25596	0	20
2025.10.22	12:00:00	151.679	152.035	151.642	151.875	36509	0	20
2025.10.22	18:00:00	151.876	152.001	151.494	151.94	25743	0	20
2025.10.23	00:00:00	151.893	152.493	151.809	152.45	17174	0	20
2025.10.23	06:00:00	152.45	152.64	152.31	152.6	19179	0	20
2025.10.23	12:00:00	152.598	152.782	152.446	152.604	26228	0	20
2025.10.23	18:00:00	152.605	152.787	152.484	152.57	14959	0	20
2025.10.24	00:00:00	152.476	152.904	152.464	152.878	13905	0	20
2025.10.24	06:00:00	152.88	153.052	152.702	152.94	18335	0	20
2025.10.24	12:00:00	152.94	153.009	152.218	152.758	32817	0	20
2025.10.24	18:00:00	152.761	152.886	152.695	152.868	13854	0	20
2025.10.26	18:00:00	152.744	153.044	152.744	153.012	631	0	29
2025.10.27	00:00:00	153.01	153.167	152.645	153.035	18532	0	20
2025.10.27	06:00:00	153.036	153.247	152.689	152.739	21795	0	20
2025.10.27	12:00:00	152.742	153.186	152.554	153.077	28395	0	20
2025.10.27	18:00:00	153.077	153.081	152.749	152.754	10100	0	20
2025.10.28	00:00:00	152.758	152.805	152.152	152.267	18805	0	20
2025.10.28	06:00:00	152.267	152.342	151.748	151.904	34555	0	20
2025.10.28	12:00:00	151.905	152.36	151.815	152.133	29891	0	20
2025.10.28	18:00:00	152.133	152.292	151.935	152.009	15597	0	20
2025.10.29	00:00:00	151.994	152.183	151.527	152.042	24091	0	20
2025.10.29	06:00:00	152.043	152.534	151.949	152.222	23104	0	20
2025.10.29	12:00:00	152.221	152.398	151.854	151.901	23442	0	20
2025.10.29	18:00:00	151.901	153.05	151.886	152.63	37302	0	20
2025.10.30	00:00:00	152.629	153.125	152.148	152.949	25217	0	20
2025.10.30	06:00:00	152.948	153.88	152.55	153.77	39781	0	20
2025.10.30	12:00:00	153.767	154.433	153.764	154.161	36322	0	20
2025.10.30	18:00:00	154.163	154.219	154.008	154.045	13359	0	20
2025.10.31	00:00:00	154.034	154.155	153.642	154.028	17238	0	20
2025.10.31	06:00:00	154.027	154.401	153.822	154.13	22750	0	20
2025.10.31	12:00:00	154.13	154.243	153.881	154.031	27536	0	20
2025.10.31	18:00:00	154.032	154.167	153.956	153.99	14136	0	20
2025.11.03	00:00:00	153.948	154.238	153.933	154.055	11081	0	20
2025.11.03	06:00:00	154.056	154.275	153.979	154.155	14601	0	20
2025.11.03	12:00:00	154.155	154.286	153.903	154.088	20656	0	20
2025.11.03	18:00:00	154.087	154.242	154.049	154.197	13748	0	20
2025.11.04	00:00:00	154.198	154.472	154.043	154.074	15363	0	20
2025.11.04	06:00:00	154.075	154.091	153.321	153.473	24787	0	20
2025.11.04	12:00:00	153.473	153.616	153.305	153.373	22316	0	20
2025.11.04	18:00:00	153.372	153.681	153.328	153.65	15716	0	20
2025.11.05	00:00:00	153.649	153.74	152.948	153.502	25539	0	20
2025.11.05	06:00:00	153.501	153.732	153.38	153.677	21349	0	20
2025.11.05	12:00:00	153.678	154.302	153.553	154.295	24916	0	20
2025.11.05	18:00:00	154.297	154.345	153.996	154.102	12841	0	20
2025.11.06	00:00:00	154.105	154.131	153.783	153.859	13063	0	20
2025.11.06	06:00:00	153.858	154.016	153.521	153.709	15763	0	20
2025.11.06	12:00:00	153.709	153.763	153.032	153.034	22667	0	20
2025.11.06	18:00:00	153.033	153.158	152.82	153.052	20433	0	20
2025.11.07	00:00:00	153.049	153.297	152.809	153.05	21218	0	20
2025.11.07	06:00:00	153.052	153.53	153.005	153.482	19274	0	20
2025.11.07	12:00:00	153.482	153.486	152.998	153.128	33471	0	20
2025.11.07	18:00:00	153.127	153.585	153.004	153.428	25410	0	20
2025.11.10	00:00:00	153.631	154.016	153.387	153.924	22430	0	20
2025.11.10	06:00:00	153.924	154.221	153.777	154.148	24347	0	20
2025.11.10	12:00:00	154.149	154.239	153.974	154.018	20183	0	20
2025.11.10	18:00:00	154.018	154.16	153.881	154.131	16514	0	20
2025.11.11	00:00:00	154.131	154.486	153.913	154.256	17385	0	20
2025.11.11	06:00:00	154.256	154.433	154.079	154.32	18905	0	20
2025.11.11	12:00:00	154.321	154.352	153.655	153.962	26019	0	20
2025.11.11	18:00:00	153.957	154.164	153.935	154.133	14500	0	20
2025.11.12	00:00:00	154.131	154.402	154.03	154.335	18107	0	20
2025.11.12	06:00:00	154.336	154.897	154.33	154.833	24035	0	20
2025.11.12	12:00:00	154.833	155.035	154.694	154.729	26088	0	20
2025.11.12	18:00:00	154.73	154.857	154.486	154.77	16018	0	20
2025.11.13	00:00:00	154.767	155.007	154.613	154.726	18497	0	20
2025.11.13	06:00:00	154.726	154.997	154.313	154.518	22343	0	20
2025.11.13	12:00:00	154.519	154.754	154.117	154.191	29267	0	20
2025.11.13	18:00:00	154.191	154.576	154.149	154.533	30342	0	20
2025.11.14	00:00:00	154.531	154.734	154.3	154.531	20768	0	20
2025.11.14	06:00:00	154.53	154.725	154.358	154.68	26256	0	20
2025.11.14	12:00:00	154.683	154.753	153.606	154.417	49221	0	20
2025.11.14	18:00:00	154.418	154.735	154.342	154.524	21678	0	20
2025.11.17	00:00:00	154.5	154.778	154.405	154.704	19075	0	20
2025.11.17	06:00:00	154.706	154.821	154.581	154.743	18441	0	20
2025.11.17	12:00:00	154.744	155.294	154.684	155.187	21334	0	20
