<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	147.913	147.728	147.897	1652	0	22
2025.10.01	02:00:00	147.895	148.215	147.802	148.098	6982	0	20
2025.10.01	04:00:00	148.096	148.157	147.875	147.903	7667	0	20
2025.10.01	06:00:00	147.904	147.989	147.542	147.543	5288	0	20
2025.10.01	08:00:00	147.543	147.633	147.157	147.219	10904	0	20
2025.10.01	10:00:00	147.22	147.311	146.891	147.14	12832	0	20
2025.10.01	12:00:00	147.139	147.255	147.05	147.066	9712	0	20
2025.10.01	14:00:00	147.066	147.108	146.578	146.788	16669	0	20
2025.10.01	16:00:00	146.785	147.037	146.61	146.85	20447	0	20
2025.10.01	18:00:00	146.857	147.243	146.832	147.15	12862	0	20
2025.10.01	20:00:00	147.15	147.219	147.011	147.079	6761	0	20
2025.10.01	22:00:00	147.08	147.155	147.044	147.061	5553	0	20
2025.10.02	00:00:00	147.02	147.056	146.988	146.998	1229	0	21
2025.10.02	02:00:00	146.997	147.313	146.988	147.182	6471	0	20
2025.10.02	04:00:00	147.181	147.216	146.931	147.154	6150	0	20
2025.10.02	06:00:00	147.155	147.19	147.04	147.165	3868	0	20
2025.10.02	08:00:00	147.165	147.368	146.882	147.144	9185	0	20
2025.10.02	10:00:00	147.144	147.205	146.714	146.786	11629	0	20
2025.10.02	12:00:00	146.788	146.798	146.588	146.632	8903	0	20
2025.10.02	14:00:00	146.632	147.189	146.615	147.152	9310	0	20
2025.10.02	16:00:00	147.152	147.333	147.048	147.32	14444	0	20
2025.10.02	18:00:00	147.322	147.505	147.153	147.154	8988	0	20
2025.10.02	20:00:00	147.157	147.226	147.13	147.202	3280	0	20
2025.10.02	22:00:00	147.201	147.282	147.119	147.244	2654	0	20
2025.10.03	00:00:00	147.175	147.237	147.154	147.185	1286	0	20
2025.10.03	02:00:00	147.182	147.371	147.082	147.342	5567	0	20
2025.10.03	04:00:00	147.346	147.676	147.171	147.639	8171	0	20
2025.10.03	06:00:00	147.643	147.757	147.583	147.714	3781	0	20
2025.10.03	08:00:00	147.713	147.806	147.49	147.594	7609	0	20
2025.10.03	10:00:00	147.593	147.672	147.267	147.319	8571	0	20
2025.10.03	12:00:00	147.319	147.424	147.3	147.313	5470	0	20
2025.10.03	14:00:00	147.312	147.411	147.209	147.254	8942	0	20
2025.10.03	16:00:00	147.253	147.508	147.057	147.436	16951	0	20
2025.10.03	18:00:00	147.435	147.526	147.296	147.494	8145	0	20
2025.10.03	20:00:00	147.495	147.534	147.397	147.489	6191	0	20
2025.10.03	22:00:00	147.488	147.514	147.372	147.469	3881	0	20
2025.10.06	00:00:00	149.477	149.483	149.028	149.316	7184	0	20
2025.10.06	02:00:00	149.31	149.854	149.225	149.695	17313	0	20
2025.10.06	04:00:00	149.697	149.908	149.575	149.861	8824	0	20
2025.10.06	06:00:00	149.86	150.333	149.811	150.303	8761	0	20
2025.10.06	08:00:00	150.306	150.425	149.999	150.021	11021	0	20
2025.10.06	10:00:00	150.022	150.387	149.94	150.357	16436	0	20
2025.10.06	12:00:00	150.358	150.467	150.268	150.272	9058	0	20
