<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	00:00:00	147.747	147.762	147.728	147.762	38	0	195
2025.10.01	00:12:00	147.744	147.762	147.744	147.755	60	0	187
2025.10.01	00:24:00	147.754	147.826	147.753	147.82	129	0	107
2025.10.01	00:36:00	147.82	147.837	147.812	147.834	56	0	77
2025.10.01	00:48:00	147.834	147.838	147.828	147.828	56	0	73
2025.10.01	01:00:00	147.831	147.885	147.806	147.86	220	0	28
2025.10.01	01:12:00	147.86	147.876	147.841	147.87	334	0	25
2025.10.01	01:24:00	147.87	147.913	147.861	147.891	325	0	24
2025.10.01	01:36:00	147.892	147.912	147.891	147.903	171	0	22
2025.10.01	01:48:00	147.902	147.911	147.884	147.897	263	0	22
2025.10.01	02:00:00	147.895	147.923	147.802	147.806	466	0	20
2025.10.01	02:12:00	147.804	147.886	147.804	147.883	363	0	20
2025.10.01	02:24:00	147.884	147.914	147.859	147.876	210	0	20
2025.10.01	02:36:00	147.876	147.941	147.876	147.921	354	0	20
2025.10.01	02:48:00	147.921	148.019	147.899	148.016	536	0	20
2025.10.01	03:00:00	148.016	148.143	148.016	148.079	1243	0	20
2025.10.01	03:12:00	148.078	148.089	148.02	148.023	935	0	20
2025.10.01	03:24:00	148.022	148.132	148.016	148.121	998	0	20
2025.10.01	03:36:00	148.119	148.215	148.103	148.175	896	0	20
2025.10.01	03:48:00	148.174	148.181	148.085	148.098	981	0	20
2025.10.01	04:00:00	148.096	148.157	148.075	148.098	720	0	20
2025.10.01	04:12:00	148.097	148.099	148.032	148.044	864	0	20
2025.10.01	04:24:00	148.043	148.043	147.981	147.982	1028	0	20
2025.10.01	04:36:00	147.98	148.004	147.942	147.971	1093	0	20
2025.10.01	04:48:00	147.971	147.991	147.93	147.943	1046	0	20
2025.10.01	05:00:00	147.942	147.965	147.894	147.945	748	0	20
2025.10.01	05:12:00	147.945	147.952	147.875	147.91	568	0	20
2025.10.01	05:24:00	147.909	147.975	147.9	147.971	602	0	20
2025.10.01	05:36:00	147.97	148.0	147.959	147.993	542	0	20
2025.10.01	05:48:00	147.995	147.995	147.899	147.903	456	0	20
2025.10.01	06:00:00	147.904	147.917	147.858	147.883	526	0	20
2025.10.01	06:12:00	147.882	147.931	147.878	147.922	391	0	21
2025.10.01	06:24:00	147.923	147.985	147.923	147.984	315	0	21
2025.10.01	06:36:00	147.984	147.989	147.919	147.922	467	0	20
2025.10.01	06:48:00	147.922	147.954	147.891	147.916	374	0	21
2025.10.01	07:00:00	147.912	147.947	147.906	147.934	546	0	20
2025.10.01	07:12:00	147.934	147.945	147.847	147.859	566	0	20
2025.10.01	07:24:00	147.859	147.897	147.755	147.76	702	0	20
2025.10.01	07:36:00	147.761	147.811	147.726	147.735	593	0	20
2025.10.01	07:48:00	147.736	147.736	147.542	147.543	808	0	20
2025.10.01	08:00:00	147.543	147.596	147.45	147.59	1417	0	20
2025.10.01	08:12:00	147.595	147.633	147.499	147.51	1000	0	20
2025.10.01	08:24:00	147.506	147.536	147.46	147.512	774	0	20
2025.10.01	08:36:00	147.514	147.548	147.493	147.529	664	0	20
2025.10.01	08:48:00	147.53	147.568	147.489	147.516	730	0	20
2025.10.01	09:00:00	147.517	147.517	147.353	147.386	1403	0	20
2025.10.01	09:12:00	147.387	147.413	147.321	147.368	1253	0	20
2025.10.01	09:24:00	147.369	147.369	147.291	147.31	749	0	20
2025.10.01	09:36:00	147.31	147.321	147.171	147.171	1488	0	20
2025.10.01	09:48:00	147.171	147.263	147.157	147.219	1426	0	20
2025.10.01	10:00:00	147.22	147.22	147.083	147.083	1469	0	20
2025.10.01	10:12:00	147.082	147.093	147.01	147.076	1382	0	20
2025.10.01	10:24:00	147.076	147.311	147.06	147.251	1301	0	20
2025.10.01	10:36:00	147.251	147.252	147.128	147.152	1481	0	20
2025.10.01	10:48:00	147.151	147.186	147.088	147.114	1415	0	20
2025.10.01	11:00:00	147.113	147.115	147.042	147.06	1440	0	20
2025.10.01	11:12:00	147.06	147.07	146.991	147.014	1243	0	20
2025.10.01	11:24:00	147.013	147.056	146.958	146.971	981	0	20
2025.10.01	11:36:00	146.97	147.1	146.891	147.064	909	0	20
2025.10.01	11:48:00	147.064	147.142	147.028	147.14	1211	0	20
2025.10.01	12:00:00	147.139	147.15	147.085	147.111	793	0	20
2025.10.01	12:12:00	147.111	147.166	147.071	147.128	1009	0	20
2025.10.01	12:24:00	147.127	147.161	147.081	147.093	948	0	20
2025.10.01	12:36:00	147.091	147.138	147.059	147.081	1007	0	20
2025.10.01	12:48:00	147.08	147.215	147.071	147.198	1020	0	20
2025.10.01	13:00:00	147.199	147.234	147.149	147.149	1002	0	20
2025.10.01	13:12:00	147.148	147.215	147.112	147.191	1076	0	20
2025.10.01	13:24:00	147.191	147.255	147.113	147.113	926	0	20
2025.10.01	13:36:00	147.114	147.161	147.05	147.071	1080	0	20
