<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	00:00:00	147.029	147.363	146.826	147.029	23475	0	22
2025.09.01	08:00:00	147.029	147.215	146.77	147.187	28243	0	20
2025.09.01	16:00:00	147.186	147.294	147.132	147.161	18868	0	20
2025.09.02	00:00:00	147.16	147.85	147.034	147.711	24896	0	20
2025.09.02	08:00:00	147.712	148.935	147.687	148.813	57884	0	20
2025.09.02	16:00:00	148.812	148.836	147.925	148.347	48713	0	20
2025.09.03	00:00:00	148.346	148.911	148.226	148.575	20413	0	20
2025.09.03	08:00:00	148.576	149.126	148.421	148.717	38446	0	20
2025.09.03	16:00:00	148.715	148.785	147.869	148.062	41921	0	20
2025.09.04	00:00:00	148.059	148.275	147.78	148.232	27448	0	20
2025.09.04	08:00:00	148.233	148.52	148.017	148.421	35494	0	20
2025.09.04	16:00:00	148.422	148.768	148.341	148.477	34368	0	20
2025.09.05	00:00:00	148.463	148.507	148.072	148.21	20943	0	20
2025.09.05	08:00:00	148.211	148.265	147.166	147.287	35203	0	20
2025.09.05	16:00:00	147.286	147.491	146.806	147.394	53510	0	20
2025.09.08	00:00:00	148.103	148.565	147.905	148.161	33931	0	20
2025.09.08	08:00:00	148.153	148.171	147.452	147.691	31568	0	20
2025.09.08	16:00:00	147.689	147.862	147.328	147.418	30318	0	20
2025.09.09	00:00:00	147.417	147.507	147.081	147.116	23803	0	20
2025.09.09	08:00:00	147.117	147.322	146.296	146.915	37476	0	20
2025.09.09	16:00:00	146.915	147.456	146.507	147.398	40899	0	20
2025.09.10	00:00:00	147.396	147.561	147.209	147.314	19705	0	20
2025.09.10	08:00:00	147.316	147.639	147.048	147.518	32342	0	20
2025.09.10	16:00:00	147.519	147.595	147.233	147.448	30626	0	20
2025.09.11	00:00:00	147.443	147.467	147.268	147.42	14574	0	20
2025.09.11	08:00:00	147.421	148.173	147.347	147.518	32023	0	20
2025.09.11	16:00:00	147.517	147.607	146.974	147.194	41560	0	20
2025.09.12	00:00:00	147.196	147.532	147.104	147.489	15102	0	20
2025.09.12	08:00:00	147.49	148.062	147.229	147.837	29647	0	20
2025.09.12	16:00:00	147.838	147.877	147.451	147.661	27171	0	20
2025.09.15	00:00:00	147.538	147.754	147.327	147.39	14763	0	20
2025.09.15	08:00:00	147.39	147.596	147.235	147.258	26049	0	20
2025.09.15	16:00:00	147.258	147.459	147.219	147.341	27849	0	20
2025.09.16	00:00:00	147.323	147.528	146.959	147.001	20348	0	20
2025.09.16	08:00:00	147.002	147.248	146.681	147.087	38482	0	20
