combo_id,timeframes,tf_count,regime_detection_tf,htf_alignment_tfs,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,elapsed_sec
M5+M15+H1+H4+D1,"M5,M15,H1,H4,D1",5,H1,"H4,D1",6216,62.02,77.99,2.06,4954238.0,4.35,5.06,165.14,70.8
M5+M15+H1+H8+D1,"M5,M15,H1,H8,D1",5,H1,D1,5428,62.38,77.34,2.14,4739581.0,5.18,4.71,157.99,71.3
M15+D1,"M15,D1",2,D1,D1,117,53.15,94.01,inf,171666.0,1.53,1.49,5.72,777.5
M5+M15+H4+H8+D1,"M5,M15,H4,H8,D1",5,H4,"H4,D1",5957,62.9,77.82,2.17,5156979.0,4.25,4.89,171.9,71.4
M5+M30+H1+H4+H8,"M5,M30,H1,H4,H8",5,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3
M5+M30+H1+H4+D1,"M5,M30,H1,H4,D1",5,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.3
M5+M30+H1+H8+D1,"M5,M30,H1,H8,D1",5,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.3
M5+M30+H4+H8+D1,"M5,M30,H4,H8,D1",5,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
M5+H1+H4+H8+D1,"M5,H1,H4,H8,D1",5,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.4
M15+M30+H1+H4+H8,"M15,M30,H1,H4,H8",5,H1,H4,4870,65.12,80.26,2.5,5432269.0,3.23,5.99,181.08,73.4
M15+M30+H1+H4+D1,"M15,M30,H1,H4,D1",5,H1,"H4,D1",4442,64.11,79.09,2.56,5263533.0,3.6,5.9,175.45,75.1
M15+M30+H1+H8+D1,"M15,M30,H1,H8,D1",5,H1,D1,3734,64.3,79.1,2.41,3957197.0,3.29,5.01,131.91,74.2
M30+H1,"M30,H1",2,H1,H1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.1
M15+M30+H4+H8+D1,"M15,M30,H4,H8,D1",5,H4,"H4,D1",3921,65.3,79.28,2.69,4865498.0,3.42,5.65,162.18,76.9
M15+H1+H4+H8+D1,"M15,H1,H4,H8,D1",5,H1,"H4,D1",5799,63.1,78.37,2.24,5467265.0,3.52,5.4,182.24,71.9
M30+H1+H4+H8+D1,"M30,H1,H4,H8,D1",5,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4
M1+M5+M15+M30+H1+H4,"M1,M5,M15,M30,H1,H4",6,H1,H4,5975,61.81,77.37,2.04,4623617.0,4.67,4.63,154.12,79.5
M1+M5+M15+M30+H1+H8,"M1,M5,M15,M30,H1,H8",6,H1,"H8,H1",5999,59.01,75.41,1.8,3617026.0,6.95,3.95,120.57,71.8
M1+M5+M15+M30+H1+D1,"M1,M5,M15,M30,H1,D1",6,H1,D1,5344,61.4,76.66,2.0,4119656.0,5.86,4.38,137.32,66.3
M1+M5+M15+M30+H4+H8,"M1,M5,M15,M30,H4,H8",6,H4,H4,6132,61.92,77.15,2.07,4878232.0,5.5,4.76,162.61,71.4
M1+M5+M15+M30+H4+D1,"M1,M5,M15,M30,H4,D1",6,H4,"H4,D1",6307,62.32,77.11,2.0,4758724.0,4.72,4.71,158.62,67.5
M1+M5+M15+M30+H8+D1,"M1,M5,M15,M30,H8,D1",6,H8,D1,5408,61.6,76.27,1.97,4002430.0,5.94,4.46,133.41,85.2
M1+M5+M15+H1+H4+H8,"M1,M5,M15,H1,H4,H8",6,H1,H4,6375,61.2,76.99,2.04,4987766.0,5.54,4.69,166.26,80.0
M30+H4,"M30,H4",2,H4,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.8
M1+M5+M15+H1+H4+D1,"M1,M5,M15,H1,H4,D1",6,H1,"H4,D1",6464,60.4,76.16,1.86,4274466.0,6.41,4.34,142.48,81.1
M1+M5+M15+H1+H8+D1,"M1,M5,M15,H1,H8,D1",6,H1,D1,5825,60.53,75.92,1.91,4137457.0,5.25,4.23,137.92,82.5
M1+M5+M15+H4+H8+D1,"M1,M5,M15,H4,H8,D1",6,H4,"H4,D1",6605,61.17,76.29,1.89,4527081.0,5.46,4.39,150.9,82.9
M1+M5+M30+H1+H4+H8,"M1,M5,M30,H1,H4,H8",6,H1,H4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.9
M1+M5+M30+H1+H4+D1,"M1,M5,M30,H1,H4,D1",6,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.8
M1+M5+M30+H1+H8+D1,"M1,M5,M30,H1,H8,D1",6,H1,D1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
M1+M5+M30+H4+H8+D1,"M1,M5,M30,H4,H8,D1",6,H4,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
M1+M5+H1+H4+H8+D1,"M1,M5,H1,H4,H8,D1",6,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.6
M30+H8,"M30,H8",2,H8,H8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.2
M1+M15+M30+H1+H4+H8,"M1,M15,M30,H1,H4,H8",6,H1,H4,5940,62.38,77.7,2.08,4767654.0,4.45,4.83,158.92,72.1
M1+M15+M30+H1+H4+D1,"M1,M15,M30,H1,H4,D1",6,H1,"H4,D1",5780,62.03,77.76,2.09,4714940.0,4.06,4.88,157.16,54.4
M1+M15+M30+H1+H8+D1,"M1,M15,M30,H1,H8,D1",6,H1,D1,5114,62.73,77.41,2.17,4466052.0,6.65,4.71,148.87,59.6
M1+M15+M30+H4+H8+D1,"M1,M15,M30,H4,H8,D1",6,H4,"H4,D1",5810,63.8,78.05,2.21,5230077.0,4.46,5.08,174.34,79.3
M1+M15+H1+H4+H8+D1,"M1,M15,H1,H4,H8,D1",6,H1,"H4,D1",6705,61.48,77.07,1.96,4927473.0,5.83,4.69,164.25,59.8
M1+M30+H1+H4+H8+D1,"M1,M30,H1,H4,H8,D1",6,H1,"H4,D1",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6
M5+M15+M30+H1+H4+H8,"M5,M15,M30,H1,H4,H8",6,H1,H4,6192,62.48,78.06,2.19,5424475.0,4.31,5.28,180.82,78.9
M5+M15+M30+H1+H4+D1,"M5,M15,M30,H1,H4,D1",6,H1,"H4,D1",6201,61.66,77.59,2.03,4840468.0,4.38,4.95,161.35,80.5
