rank,min_signals,adx_threshold,rsi_oversold,rsi_overbought,sl_atr_mult,tp_atr_mult,cooldown_bars,mtf_bonus,train_trades,train_win_rate,train_pf,train_net_profit,train_max_dd,valid_trades,valid_win_rate,valid_pf,valid_net_profit,valid_max_dd,score
1,3,20.0,35.0,65.0,2.0,3.0,4,2,922,0.4,0.00,-16143.47,1.61,921,0.1,0.00,-16643.30,1.66,0.0000
2,3,20.0,35.0,65.0,1.5,2.0,4,2,1168,0.0,0.00,-20621.93,2.06,1154,0.0,0.00,-20549.24,2.05,0.0000
3,3,20.0,35.0,65.0,1.5,3.5,4,2,938,0.4,0.00,-16468.04,1.65,960,0.2,0.00,-17156.96,1.72,0.0000
4,4,25.0,30.0,70.0,2.0,3.0,6,2,543,0.4,0.00,-9440.44,0.94,497,0.2,0.00,-8792.79,0.88,0.0000
5,3,22.0,33.0,67.0,2.5,4.0,4,2,700,0.4,0.00,-12487.80,1.25,673,0.4,0.00,-12101.98,1.21,0.0000
6,3,20.0,28.0,72.0,2.0,3.0,4,2,817,0.4,0.00,-14123.89,1.41,793,0.1,0.00,-14088.40,1.41,0.0000
7,3,20.0,35.0,65.0,2.0,3.0,2,2,1034,0.5,0.00,-18193.52,1.82,1001,0.1,0.00,-18090.20,1.81,0.0000
8,3,20.0,35.0,65.0,2.0,3.0,4,4,922,0.4,0.00,-16143.47,1.61,921,0.1,0.00,-16643.30,1.66,0.0000
9,4,28.0,32.0,68.0,2.5,3.5,6,3,424,0.7,0.00,-7455.62,0.75,373,0.8,0.00,-6553.80,0.66,0.0000
