run_id,stage,params_json,trades,win_rate,non_loss_rate,profit_factor,net_profit,max_drawdown,sharpe_ratio,annual_return,composite_score,elapsed_sec
s3_11ad4a3f,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.5, ""trailing_atr_mult"": 1.5, ""stag_exit_minutes"": 90.0, ""partial_1r_ratio"": 0.1, ""early_be_r"": 0.3, ""signal_rev_ratio"": 0.75}",127,69.8,80.27,16.14,179830.0,0.28,2.97,5.99,8.443,54.1
s3_26907203,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.0, ""trailing_atr_mult"": 1.5, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.1, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.0}",133,67.23,72.85,7.35,160336.0,0.61,2.65,5.34,6.4772,54.4
s3_d589cb15,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.75}",119,52.49,60.79,6.98,166021.0,0.61,2.71,5.53,5.5037,54.4
s3_f5dbfbab,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 1.5, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.0}",119,52.49,60.79,6.92,164505.0,0.61,2.71,5.48,5.4564,55.0
s3_4ea28492,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.5, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 180.0, ""partial_1r_ratio"": 0.05, ""early_be_r"": 0.5, ""signal_rev_ratio"": 0.5}",117,78.19,84.88,15.27,188914.0,0.4,2.97,6.3,7.7688,56.9
s3_8e796519,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.0, ""trailing_atr_mult"": 2.0, ""stag_exit_minutes"": 90.0, ""partial_1r_ratio"": 0.1, ""early_be_r"": 0.7, ""signal_rev_ratio"": 0.5}",126,72.92,74.85,6.99,166147.0,0.67,2.59,5.54,5.8323,56.3
s3_47c9794e,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.5, ""trailing_atr_mult"": 1.5, ""stag_exit_minutes"": 60.0, ""partial_1r_ratio"": 0.15, ""early_be_r"": 0.3, ""signal_rev_ratio"": 0.0}",143,60.43,71.82,8.28,164293.0,0.34,2.87,5.48,7.8668,56.2
s3_a3c657a8,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 2.0, ""trailing_atr_mult"": 1.0, ""stag_exit_minutes"": 180.0, ""partial_1r_ratio"": 0.05, ""early_be_r"": 0.7, ""signal_rev_ratio"": 0.25}",117,80.03,82.9,13.81,189284.0,0.41,2.9,6.31,7.768,57.5
s3_2506e942,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.0, ""trailing_atr_mult"": 1.5, ""stag_exit_minutes"": 120.0, ""partial_1r_ratio"": 0.05, ""early_be_r"": 0.7, ""signal_rev_ratio"": 0.75}",129,75.62,77.96,7.55,165998.0,0.87,2.63,5.53,6.4365,56.7
s3_46c9f7a0,3,"{""timeframes"": [""M15"", ""H1"", ""H4"", ""D1""], ""regime_detection_tf"": ""H1"", ""htf_alignment_tfs"": [""H4"", ""D1""], ""consensus_threshold"": 6.5, ""consensus_primary_weight"": 1.0, ""consensus_entry_weight"": 2.5, ""consensus_confirm_weight"": 3.0, ""consensus_manage_weight"": 1.0, ""consensus_other_weight"": 2.0, ""trailing_start_r"": 1.5, ""trailing_atr_mult"": 2.5, ""stag_exit_minutes"": 90.0, ""partial_1r_ratio"": 0.0, ""early_be_r"": 0.3, ""signal_rev_ratio"": 0.25}",102,56.68,70.8,13.95,184104.0,0.28,2.93,6.14,6.781,56.5
