rank,min_signals,adx_threshold,rsi_oversold,rsi_overbought,sl_atr_mult,tp_atr_mult,cooldown_bars,mtf_bonus,train_trades,train_win_rate,train_pf,train_net_profit,train_max_dd,valid_trades,valid_win_rate,valid_pf,valid_net_profit,valid_max_dd,score
1,3,22.0,33.0,67.0,2.5,4.0,4,2,700,45.3,1.06,119.85,0.01,673,43.1,1.05,87.40,0.02,0.0004
2,4,28.0,32.0,68.0,2.5,3.5,6,3,424,45.0,0.99,-8.35,0.02,373,43.7,1.00,4.95,0.01,0.0000
3,3,20.0,35.0,65.0,2.0,3.0,4,2,922,46.9,1.14,288.05,0.01,921,42.8,0.93,-140.00,0.03,0.0000
4,3,20.0,35.0,65.0,1.5,2.0,4,2,1168,46.6,0.98,-49.73,0.01,1154,44.4,0.91,-179.99,0.03,0.0000
5,3,20.0,35.0,65.0,1.5,3.5,4,2,938,38.2,1.10,193.66,0.01,960,36.1,0.97,-54.71,0.02,0.0000
6,4,25.0,30.0,70.0,2.0,3.0,6,2,543,43.8,1.01,19.01,0.02,497,39.6,0.92,-105.54,0.01,0.0000
7,3,20.0,28.0,72.0,2.0,3.0,4,2,817,45.4,1.12,245.96,0.01,793,40.7,0.95,-94.75,0.02,0.0000
8,3,20.0,35.0,65.0,2.0,3.0,2,2,1034,46.8,1.15,329.38,0.01,1001,42.9,0.95,-106.85,0.03,0.0000
9,3,20.0,35.0,65.0,2.0,3.0,4,4,922,46.9,1.14,288.05,0.01,921,42.8,0.93,-140.00,0.03,0.0000
